Rank,Grade,Category,Channel's Name,No. of Uploads,Subscribers,Video Views
1st,A,Music,Ed Sheeran,263,52.9M,"29,219,568,869"
2nd,A-,Music,One Direction,157,37.9M,"13,207,079,422"
3rd,A-,Music,NoCopyrightSounds,"1,225",33.2M,"10,914,694,429"
4th,A-,Comedy,Mr Bean,"2,888",31.6M,"10,302,083,955"
5th,A,Education,Peppa Pig - Official Channel,"2,619",30.2M,"22,040,830,146"
6th,A-,Music,Adele,15,29.6M,"13,513,127,449"
7th,B+,Entertainment,DanTDM,"3,641",26.4M,"19,033,985,468"
8th,A-,Music,Coldplay,371,24.5M,"16,335,288,234"
9th,B+,Entertainment,KSI,"1,250",24.1M,"5,970,876,829"
10th,B,Entertainment,Mister Max,"1,076",23.5M,"15,262,069,191"
11th,B+,Games,Jelly,"5,897",23.3M,"14,538,223,573"
12th,A-,Entertainment,Miss Katy,"1,021",23.3M,"14,350,782,357"
13th,A-,Film,Peppa Pig Español Latino - Canal …,"1,133",22.9M,"7,589,349,084"
14th,B+,Music,OneDirectionVEVO,266,21.9M,"11,884,610,967"
15th,A-,Music,Dua Lipa,164,21.5M,"10,702,887,988"
16th,A,Entertainment,Dan Rhodes,"1,577",20.5M,"14,626,733,881"
17th,A-,Entertainment,Got Talent Global,"2,007",20M,"3,342,883,566"
18th,B+,Entertainment,Gordon Ramsay,"1,409",19.7M,"3,768,459,364"
19th,B+,Entertainment,Britain's Got Talent,"3,907",19.2M,"10,917,180,663"
20th,A-,Music,Calvin Harris,76,18.7M,"15,495,370,135"
21st,B+,Entertainment,Vsauce,424,18.4M,"2,574,218,941"
22nd,B+,Games,Ali-A,"4,031",18.2M,"5,905,342,998"
23rd,A-,Entertainment,Sidemen,292,18M,"4,873,296,182"
24th,B+,Entertainment,Gaby and Alex,354,17M,"8,072,002,051"
25th,A-,Music,Queen Official,939,16.7M,"10,372,619,637"
26th,B-,Entertainment,W2S,652,16.3M,"4,746,939,478"
27th,B+,Music,Little Mix,278,16.2M,"7,329,791,477"
28th,B+,Entertainment,JJ Olatunji,"1,250",16.2M,"3,948,617,647"
29th,A-,Entertainment,SAM SMITH,191,16.1M,"9,687,999,641"
30th,A-,Music,AdeleVEVO,52,15.1M,"12,004,068,213"
31st,B+,Sports,F2Freestylers - Ultimate Soccer Sk…,769,14.1M,"3,226,427,777"
32nd,B+,News,BBC News,"17,750",13.9M,"4,299,832,568"
33rd,A,Tech,Mrwhosetheboss,"1,505",13.3M,"2,729,576,817"
34th,A-,Entertainment,BBC,"14,491",13.3M,"9,392,055,754"
35th,B+,Music,Awakening Music,751,13M,"5,251,684,070"
36th,B+,Film,Talking Angela,219,12.5M,"3,461,572,782"
37th,B+,Music,elliegoulding,164,12.5M,"6,787,721,866"
38th,B+,Entertainment,DisneyChannelUK,"4,382",12.4M,"12,456,738,023"
39th,B,Entertainment,colinfurze,375,12.3M,"1,527,937,469"
40th,B+,Games,TommyInnit,310,12M,"1,736,561,594"
41st,B+,Animals,BBC Earth,"2,359",11.8M,"4,259,579,887"
42nd,A-,Entertainment,Morgz,789,11.7M,"2,861,690,948"
43rd,A,Entertainment,Woody & Kleiny,846,11.4M,"9,014,773,339"
44th,B,People,Tiana,"1,015",11.4M,"3,209,582,116"
45th,B+,Entertainment,DisneyJuniorUK,"2,789",11.3M,"11,578,760,873"
46th,A-,Games,MoreAliA,"2,187",11.2M,"3,377,852,918"
47th,A-,Games,Slogo,"5,676",11.1M,"8,007,512,080"
48th,B+,Music,Anne-Marie,179,11M,"2,890,839,552"
49th,B+,Entertainment,Emily Tube,770,11M,"4,036,756,948"
50th,A-,Music,Hi-Tech Islamic Naat,"2,244",10.8M,"2,861,499,891"
51st,B-,Howto,Zoella,367,10.7M,"1,119,094,581"
52nd,B,Games,stampylonghead,"3,970",10.7M,"8,005,796,778"
54th,A-,Music,Sing King,"3,753",10.6M,"6,511,659,762"
53rd,B+,Music,BBC News ????,"36,873",10.7M,"4,389,779,101"
55th,B+,Music,Jessie J,95,10.5M,"5,450,214,973"
56th,A-,Film,Shaun the Sheep Official,540,10.3M,"5,250,057,366"
57th,A,Entertainment,JULIA GISELLA,663,10.3M,"4,095,451,012"
58th,B+,Music,Clean Bandit,199,10.3M,"7,531,094,197"
59th,B+,Entertainment,Miniminter,"1,776",10.2M,"3,590,608,427"
60th,B+,Comedy,Classic Mr Bean,"1,209",10.1M,"3,082,367,983"
61st,B+,News,truly,"2,867",10.1M,"5,700,600,420"
62nd,A-,Film,Jungle Beat,523,10M,"4,927,769,683"
63rd,A-,Music,Gorillaz,324,9.95M,"4,823,645,308"
64th,B+,Sports,ICC,"3,299",9.74M,"3,225,658,201"
65th,B,Games,Syndicate,"3,526",9.69M,"2,126,513,527"
66th,B+,Sports,Olympics,"11,789",9.63M,"4,933,987,556"
67th,B+,Entertainment,Guinness World Records,"1,665",9.6M,"2,064,770,520"
68th,B+,Entertainment,Cartoon Network UK,"4,639",9.58M,"9,102,579,359"
69th,B+,Film,SevenSuperGirls,"2,175",9.5M,"5,616,110,005"
70th,A-,Education,Moonbug Kids - Kids Learning Videos,"1,021",9.27M,"3,510,729,118"
71st,B,Education,English with Lucy,333,9.15M,"381,068,065"
72nd,B+,Entertainment,The X Factor UK,"5,274",9.12M,"6,884,099,815"
73rd,B+,Entertainment,Cartoons for Kids,"2,114",8.86M,"3,267,418,675"
74th,B+,Autos,Top Gear,"1,700",8.61M,"3,743,236,864"
75th,B+,Games,Mumbo Jumbo,"1,998",8.58M,"2,796,240,927"
76th,B+,Sports,FORMULA 1,"5,832",8.56M,"5,298,524,398"
77th,B,Education,The School of Life,896,8.29M,"810,778,249"
78th,B+,Games,Daz Games,"1,427",8.16M,"2,352,381,820"
79th,A,Entertainment,Julius Dein,859,8.15M,"1,707,702,819"
80th,B+,Games,Grian,698,8.08M,"2,179,798,907"
81st,B+,Music,BBC Radio 1,"4,685",8.07M,"3,580,985,596"
82nd,B+,Sports,Liverpool FC,"4,270",8.04M,"1,888,926,929"
83rd,B+,Autos,carwow,"2,089",7.88M,"3,024,708,986"
84th,B+,Film,STORROR,763,7.88M,"1,093,459,849"
85th,B+,Film,Mr Bean World,"1,182",7.87M,"2,998,236,393"
86th,A-,Entertainment,RubyandBonnie,491,7.85M,"3,974,372,219"
87th,B+,Music,littlemixVEVO,241,7.7M,"6,775,173,146"
88th,A-,Entertainment,Jamie Nyland,875,7.69M,"1,590,269,247"
89th,A-,Entertainment,Rhia Official,623,7.65M,"3,526,805,298"
90th,A-,Entertainment,Jeremy Lynch,554,7.65M,"4,125,823,643"
91st,B,Games,Vikkstar123,"5,016",7.61M,"2,124,440,034"
92nd,B+,People,MoreSidemen,807,7.6M,"3,217,547,784"
93rd,B,Entertainment,PlayToys,"1,032",7.59M,"2,949,824,120"
94th,B,Comedy,ThatcherJoe,339,7.44M,"1,325,307,131"
95th,B+,Film,Disney UK,"1,566",7.41M,"5,399,454,497"
96th,A-,Sports,Manchester United,"3,162",7.4M,"1,470,852,710"
97th,A-,Music,Official Arctic Monkeys,86,7.34M,"4,339,347,857"
98th,B+,People,mrnigelng,138,7.32M,"764,868,568"
99th,B,People,TomSka,176,7.2M,"2,013,864,842"
100th,A-,Music,The Beatles,281,7.19M,"5,633,685,763"
